Year,AU_PM,AU_Election,AU_DeathOrRemoval,GB_PM,GB_Election,GB_DeathOrRemoval
1901,1,1,0,1,0,0
1902,1,0,0,2,0,0
1903,2,1,0,1,0,0
1904,3,0,0,1,0,0
1905,2,0,0,2,0,0
1906,1,1,0,1,1,0
1907,1,0,0,1,0,0
1908,2,0,0,2,0,0
1909,2,0,0,1,0,0
1910,2,1,0,1,2,0
1911,1,0,0,1,0,0
1912,1,0,0,1,0,0
1913,2,1,0,1,0,0
1914,2,1,0,1,0,0
1915,2,0,0,2,0,0
1916,1,0,0,2,0,0
1917,1,1,0,1,0,0
1918,1,0,0,1,1,0
1919,1,1,0,1,0,0
1920,1,0,0,1,0,0
1921,1,0,0,1,0,0
1922,1,1,0,2,1,0
1923,2,0,0,2,1,0
1924,1,0,0,3,1,2
1925,1,1,0,1,0,0
1926,1,0,0,1,0,0
1927,1,0,0,1,0,0
1928,1,1,0,1,0,0
1929,2,1,0,2,1,0
1930,1,0,0,1,0,0
1931,1,1,0,2,1,0
1932,2,0,0,1,0,0
1933,1,0,0,1,0,0
1934,1,1,0,1,0,0
1935,1,0,0,2,1,0
1936,1,0,0,1,0,0
1937,1,1,0,2,0,0
1938,1,0,0,1,0,0
1939,2,0,1,2,0,0
1940,1,1,0,2,0,0
1941,3,0,0,1,0,0
1942,1,0,0,1,0,0
1943,1,1,0,1,0,0
1944,1,0,0,1,0,0
1945,3,0,1,2,1,0
1946,1,1,0,1,0,0
1947,1,0,0,1,0,0
1948,1,0,0,1,0,0
1949,2,1,0,1,0,0
1950,1,0,0,1,1,0
1951,1,1,0,2,1,0
1952,1,0,0,1,0,0
1953,1,0,0,1,0,0
1954,1,1,0,1,0,0
1955,1,1,0,2,1,0
1956,1,0,0,1,0,0
1957,1,0,0,2,0,0
1958,1,1,0,1,0,0
1959,1,0,0,1,1,0
1960,1,0,0,1,0,0
1961,1,1,0,1,0,0
1962,1,0,0,1,0,0
1963,1,1,0,2,0,0
1964,1,0,0,2,1,0
1965,1,0,0,1,0,0
1966,2,1,0,1,1,0
1967,2,0,1,1,0,0
1968,2,0,0,1,0,0
1969,1,1,0,1,0,0
1970,1,0,0,2,1,0
1971,2,0,0,1,0,0
1972,2,1,0,1,0,0
1973,1,0,0,1,0,0
1974,1,1,0,2,2,0
1975,2,1,1,1,0,0
1976,1,0,0,2,0,0
1977,1,1,0,1,0,0
1978,1,0,0,1,0,0
1979,1,0,0,2,1,1
1980,1,1,0,1,0,0
1981,1,0,0,1,0,0
1982,1,0,0,1,0,0
1983,2,1,0,1,1,0
1984,1,1,0,1,0,0
1985,1,0,0,1,0,0
1986,1,0,0,1,0,0
1987,1,1,0,1,1,0
1988,1,0,0,1,0,0
1989,1,0,0,1,0,0
1990,1,1,0,2,0,0
1991,2,0,0,1,0,0
1992,1,0,0,1,1,0
1993,1,1,0,1,0,0
1994,1,0,0,1,0,0
1995,1,0,0,1,0,0
1996,2,1,0,1,0,0
1997,1,0,0,2,1,0
1998,1,1,0,1,0,0
1999,1,0,0,1,0,0
2000,1,0,0,1,0,0
2001,1,1,0,1,1,0
2002,1,0,0,1,0,0
2003,1,0,0,1,0,0
2004,1,1,0,1,0,0
2005,1,0,0,1,1,0
2006,1,0,0,1,0,0
2007,2,1,0,2,0,0
2008,1,0,0,1,0,0
2009,1,0,0,1,0,0
2010,2,1,0,2,1,0
2011,1,0,0,1,0,0
2012,1,0,0,1,0,0
2013,3,1,0,1,0,0
2014,1,0,0,1,0,0
2015,2,0,0,1,1,0
